date,volumeto,close,bitcoin,num_tweets
2021-02-12,1571324550.44,47222.32,38.28,122503.0
2021-02-13,1841963034.08,48652.87,31.68,93740.0
2021-02-14,2502097939.18,47936.51,34.980000000000004,99797.0
2021-02-15,3237085085.6,49184.63,35.64,101777.0
2021-02-16,3423930178.2,52154.91,39.6,147792.0
2021-02-17,2205232619.94,51591.61,44.88,147890.0
2021-02-18,3893034056.64,55933.47,39.6,116096.0
2021-02-19,2974872569.57,55900.84,44.22,150898.0
2021-02-20,1934005633.01,57469.95,50.16,118093.0
2021-02-21,6995162441.1,54121.17,44.22,111638.0
2021-02-22,8016450648.12,48898.7,51.48,110348.0
2021-02-23,3729774704.65,49738.17,63.36,131691.0
2021-02-24,3643008748.86,47082.87,48.18,103733.0
